"","geneid","SiteD01","SiteD02","SiteD03","SiteD04","SiteD05","SiteD06","SiteD07","SiteD08","SiteD09","SiteD10","SiteD11","SiteD12","AveExpr","F","P.Value","adj.P.Val","max_log2FC"
"241","Dapma7bEVm003882",0.332059781232881,-0.280428561091027,-0.487079874882886,-0.487942900074476,-0.276757841527856,-0.439212599789059,-0.59423102240576,-0.0342347620955818,-0.21474386591444,-0.387370012072754,-1.31017603803586,-2.08033787299117,9.87113619041449,3.88223789563673,3.86009261849112e-05,0.0030195285633338,5.94946437400415
"242","Dapma7bEVm007203",-0.118022761987157,-0.037683721543402,0.161468568348782,0.121412782635725,-0.00913144614644244,0.17434236962866,0.0707092331985226,-0.134612114893371,-0.110026492376636,0.0304120924528178,0.223512779501485,0.307797158431963,6.35267462612913,3.88183740456105,3.8656610714002e-05,0.0030195285633338,1.29584722222888
"243","Dapma7bEVm027624",-0.452732218192207,-0.75100693401039,-1.24352154505848,-1.10727099505993,-1.03180777835163,-0.90167991051468,-0.87457027232981,-0.832679536921971,-0.803393194136082,-0.916039441510572,-1.37652134080203,-1.67098856388797,6.04003404417852,3.87594367889939,3.9485436865466e-05,0.0030540795249383,3.02499007925144
"244","Dapma7bEVm015019",-0.803850429841516,-0.391322228858586,-0.0682414298788938,-0.344336248035118,-0.750215707106243,-0.701947959090061,-0.152929632435926,-0.542187410659285,-0.402495822333177,-0.149636232560485,0.310642763945982,0.0541135757249316,13.7568310955651,3.87520650550954,3.95903481394362e-05,0.0030540795249383,3.2943868187276
"245","Dapma7bEVm010483",-0.0558572280314113,0.0666211794392366,0.168611867505438,0.110279518239172,-0.111541675630888,0.109405378400247,0.199088905929588,0.0118434037570584,0.11852867744921,0.205294026602188,0.347791505579413,0.301131870078107,8.70130461965222,3.87444418973386,3.96991309776062e-05,0.0030540795249383,1.58185394139882
"246","Dapma7bEVm018551",-0.362538632069227,-0.541994289876689,-0.564423593169006,-0.501495335908804,-0.340736148095286,-0.459876181843129,-0.396261750746936,-0.442219518980263,-0.412061381000879,-0.431293796237504,-0.536309483956021,-0.690840939001079,11.4292145474757,3.8741219649294,3.97452025146708e-05,0.0030540795249383,1.5319693793471
"247","Dapma7bEVm018819",0.305844584443895,-0.362500103735154,-1.25789563994535,-1.09044159637831,-0.21709988251067,-0.638855872956708,-0.525716733445003,0.149784425449288,-0.572437064771333,-0.644052142905236,-2.00111750833623,-2.22821105349345,8.51849118184101,3.87071723715644,4.02352906149971e-05,0.0030713618894261,6.4649931029662
"248","Dapma7bEVm023900",0.20525028060131,-0.179669668762662,-1.15687680494646,-0.729298678673277,-0.315857365612119,-0.470293932325866,-0.52642946505832,-0.0511330634706903,-0.840912744962211,-0.687271959570271,-1.24071042978344,-1.39092594642726,6.78097729894112,3.86955310839563,4.04042429679839e-05,0.0030713618894261,4.46101125597553
"249","Dapma7bEVm001634",-0.636538203378888,-1.43940270181575,-1.91311373059669,-1.76780004335177,-1.16988237874063,-1.13796788644447,-0.956068786285282,-1.10591065420547,-1.84895452759979,-1.69478895380908,-1.60611933935675,-1.47549625464757,6.62002769187119,3.86741356590065,4.07166127939113e-05,0.0030713618894261,4.61893535645879
"250","Dapma7bEVm019928",0.171074262743186,-0.177650366832473,-1.05880113377059,-0.900640785652918,-0.360295057473373,-0.66331926385251,-0.764735815667258,-0.0914790950326206,-0.493576114389395,-0.800062678299132,-1.63950744508656,-1.74836252547386,7.27984375956638,3.86704891178716,4.07700922566629e-05,0.0030713618894261,5.03254558024179
"251","Dapma7bEVm023203",-0.179695824812602,-0.694863978751422,-1.42045618819289,-1.22326598304956,-0.357376027407746,-0.693163771167098,-0.832804799868457,-0.193120086111309,-0.988124506109987,-1.09644780325628,-1.62415570287158,-1.65086125636038,6.62453203854149,3.86696429166673,4.07825125242528e-05,0.0030713618894261,4.31523876197011
"252","Dapma7bEVm027718",-0.0618712426587129,-0.425240399240818,-1.25707358985131,-0.856568456201021,-0.5773073492935,-0.380368288860409,-0.766336263796718,-0.164630868335528,-0.522892131172382,-0.922333420026522,-1.25351706608081,-1.19283012843218,6.18931741348859,3.86493633201149,4.10813052708584e-05,0.00308095523241626,3.49788676017411
"253","Dapma7bEVm005265",0.0848043517674697,-0.332318788892004,-0.675951892612554,-0.478060040677589,-0.378940097250224,-0.131511328192064,-0.230389463971065,0.0439301052749362,-0.402539907121394,-0.294643347768572,-0.577877696579485,-0.570301285293066,5.08388452909547,3.86389305052473,4.12358712268589e-05,0.00308095523241626,1.93869983756451
"254","Dapma7bEVm002438",0.279426385854262,0.286990919536372,-0.11008205966412,0.226040142944321,0.383459547435713,0.147613016580146,-0.0710619784151456,0.390561523505521,0.16783511061513,-0.065590267927204,-0.204293432483704,-0.185827476835879,11.3841217195614,3.85632556716186,4.23745787293397e-05,0.00314730912816924,1.8817569863658
"255","Dapma7bEVm008057",0.0433789237945126,-0.234581064211666,-0.584596151556979,-0.454475265669066,-0.0672501351789465,-0.320993114642396,-0.483401570776035,-0.0153804121424978,-0.325204553981323,-0.542398508585081,-0.834259255825488,-1.33890190634814,7.203129891601,3.85570264779917,4.24697017086394e-05,0.00314730912816924,3.91993105610866
"256","Dapma7bEVm010969",0.218566483127424,-0.211900923207184,-1.14722841686168,-0.651780695583363,0.121181913569616,-0.611734273138403,-0.708154997879399,0.0998744757708105,-1.08695652760989,-0.824590877209313,-1.61641534142929,-2.08275576715713,9.78926024920153,3.85331758999514,4.2835891689555e-05,0.00314730912816924,6.37629860020778
"257","Dapma7bEVm000370",0.331440512331885,0.133159903336104,-0.167270061688563,0.0119747591236145,0.11230104583689,0.0426632175535756,-0.371624842200959,0.285635395540264,-0.0307768882330997,-0.234932347241018,-0.652868217573151,-0.939813105149673,8.22022586271136,3.85189320786399,4.30560893675722e-05,0.00314730912816924,3.57731595711001
"258","Dapma7bEVm001236",0.00227681416870255,-0.406803736585079,-0.770975755321276,-0.463964149711712,-0.232240660757196,-0.416101249671641,-0.455906732351658,-0.249952867724441,-0.331290183072897,-0.251590324529285,-0.633435592074825,-0.866531482879745,5.6690811080741,3.85161186199043,4.30997168772363e-05,0.00314730912816924,2.16144500085502
"259","Dapma7bEVm001457",0.116669340815673,0.272081482529478,0.312717834083565,0.277960323257262,0.126183997317831,0.197376040479587,0.372794699431711,0.150585898498544,0.354750625594398,0.293980260734579,0.532114060477775,0.558493668047186,8.28969513020143,3.85146217239855,4.31229468441959e-05,0.00314730912816924,1.57701558922757
"260","Dapma7bEVm015201",-0.751113340887338,-1.35990590656187,-1.17684059045277,-1.47449974371942,-1.33504250407749,-1.23701220717989,-1.65699443552778,-0.771422379670784,-1.26003641753687,-1.14043659737314,-1.96535191418314,-3.69088777334121,8.65501334427482,3.8460482103401,4.39716006059998e-05,0.00317544492817085,6.32783350777872
"261","Dapma7bEVm027251",-1.00131077394859,-1.78423392268021,-1.08169990630798,-1.43881856574793,-1.66347296573711,-1.39875630247476,-1.74928181161148,-1.05712342201053,-1.49308963469422,-0.992123159800079,-1.76486336305394,-4.19944005798226,9.08190592000633,3.8459786934601,4.39826055399328e-05,0.00317544492817085,6.77458094241897
"262","Dapma7bEVm005456",-0.208703875430898,-0.0730510365466443,0.0519391635397976,0.0465002904986815,-0.0880072858963635,0.204214211291042,0.24037293103971,-0.120985465029989,0.259277029394777,0.359335199745375,0.397445590704583,0.225676264285537,7.8303722727754,3.84579051455485,4.40124092038704e-05,0.00317544492817085,2.67242299991552
"263","Dapma7bEVm001000",-0.109087685485947,-0.513553940053223,-1.67992798989383,-1.22581824222548,-0.346161875454513,-0.664435244883292,-0.821265251743064,0.0850224259952673,-0.900480354975349,-0.87403641857949,-1.79588575898149,-1.80123731592608,7.1448034544633,3.84417345774125,4.4269352023024e-05,0.0031818386360883,4.86598527412275
"264","Dapma7bEVm015983",0.0572031729377002,-0.353574221860213,-0.493757949711784,-0.355346253449201,-0.192653596267473,-0.437631243086504,-0.671765441416636,-0.0827417944385005,-0.231517984824922,-0.460798609911923,-0.508507980294734,-1.42253305468057,6.35689457658466,3.84272220362367,4.45012272066604e-05,0.00318638900714962,3.45453734019958
"265","Dapma7bEVm001666",-0.12599468408052,-0.653841598307846,-0.990607942210074,-0.923318254632081,-0.160895075993379,-0.76828819904634,-0.892134521805303,-0.225260646227122,-0.685904013047697,-0.792574006859745,-1.24850492118318,-1.43167636996406,6.28012599161973,3.83824493996052,4.52242704844766e-05,0.00322594107535117,3.88253044359528
"266","Dapma7bEVm018410",0.36795473365534,0.171850321173921,-0.531870365867604,-0.244317383604512,0.189692310712656,-0.282198073000076,-0.377392702823164,0.235358240157261,-0.380068018832382,-0.322786270433892,-1.1444113757026,-1.303354805421,10.0815666339455,3.83612036483068,4.5571473252615e-05,0.00323283786124464,4.88112531373156
"267","Dapma7bEVm007774",-0.0648356106641637,-0.23700092694425,-0.479128541160317,-0.406950002975837,-0.22070179461902,-0.348663429576083,-0.611943377020723,-0.086560292906658,-0.38793132348548,-0.479929808682359,-0.758688541445706,-1.00129294573262,6.16729246381236,3.83472571492598,4.58008386610751e-05,0.00323283786124464,3.06539147378032
"268","Dapma7bEVm010171",-0.165797471542367,-1.04132060864607,-0.916228758913023,-0.725431924642151,-0.771557878929421,-0.565498375703413,-0.507452700391099,-0.724095335001433,-1.08971477633366,-0.891138482173693,-0.362015167285003,-0.454307453213008,5.31112687038601,3.83452451407393,4.58340235313741e-05,0.00323283786124464,2.73810067197887
"269","Dapma7bEVm000456",-0.178193103405915,-0.317641693993827,-1.12082342859251,-0.455985255930689,-0.056410119707782,-0.601774822419204,-0.938265812188446,-0.328114310452584,-0.684842091161016,-1.12862030351318,-1.48737817105513,-1.59617040655104,7.60831539836984,3.82645648149826,4.71847270785327e-05,0.00331573567273422,4.95908459567668
"270","Dapma7bEVm021950",0.065468501000007,0.160875231248537,0.441427809646888,0.0563611022995041,0.339936149191806,0.484632440133501,0.102764782487017,0.2201382323,0.356123379727771,0.113347604925822,0.572375414205707,0.61376718962798,4.88288552420559,3.82495327366745,4.74407515897037e-05,0.00332137973074136,1.56703239578013
"271","Dapma7bEVm009845",0.231078987616645,-0.260176910751843,-0.809657106538689,-0.472634442118625,-0.148388418521066,-0.274939203912185,-0.557371745258957,-0.0305730844320156,-0.535095682999432,-0.416606140025599,-0.981563877615344,-1.06348732682216,7.36430585051558,3.82228909088487,4.78979308729039e-05,0.00334101323723432,3.95447803252362
"272","Dapma7bEVm003509",0.151567874665266,0.229563428426958,0.155596155579946,0.211274262249141,-0.0476902736773902,0.316175547918679,0.367629204676515,0.0634277743326704,0.274624630489556,0.324218447953812,0.322492048209834,0.250370652735981,8.22447896212875,3.81795249859388,4.86515437604545e-05,0.00338110342538188,1.58367417450842
"273","Dapma7bEVm010202",-0.0145009859602101,-0.431594990772589,-0.919729330430504,-0.812771802876045,-0.25387311313637,-0.354731014338176,-0.509799108799936,-0.123167076438007,-0.573330908329141,-0.627156475889254,-1.08731376953131,-1.41979689796658,8.84538359366484,3.80569554665665,5.08463096882703e-05,0.00352068788292078,3.60819348115374
"274","Dapma7bEVm011923",0.241446563467316,0.516892751444605,0.713367464669189,0.539885098571463,0.156773160787362,0.456117237994485,0.524790422037817,0.407778182555732,0.333693763590753,0.43889475459066,0.638006322809801,0.732686027679788,5.98455515567413,3.80365952058023,5.12203604285565e-05,0.00353364406270439,2.62517800227373
"275","Dapma7bEVm001013",0.474076667918635,0.255869490572646,-1.25083486142366,-0.613616354801528,0.000239398275623095,0.0698942448255263,-0.323619057121669,0.460249604946503,-0.377697869555861,-0.490898702752659,-1.34136878564278,-1.30428984437445,7.20878397933422,3.79831091407666,5.22161494746733e-05,0.0035674011155464,5.06104970131629
"276","Dapma7bEVm006494",0.438534113739741,0.0031770762944522,-0.88183427322493,-0.384134512746056,0.0805933105823684,-0.160253095088474,-0.38271780249797,0.161372226354099,-0.726418230351201,-0.52655792568332,-0.853419982744026,-1.07623233857619,7.54426692664059,3.79670075155726,5.25196999963191e-05,0.0035674011155464,4.14356622424956
"277","Dapma7bEVm014966",0.0455021330331583,-0.120690783496216,-0.372921049951077,-0.67910085439868,-0.0628914907302338,-0.27067956815154,-0.459428945329081,0.0848683391882418,-0.404522477180366,-0.186346964798562,-0.925995753677677,-1.31709659503816,6.3481944148334,3.79654366627583,5.25494082996237e-05,0.0035674011155464,3.82023215463198
"278","Dapma7bEVm011732",-0.0458393714474542,-0.311136953797609,-0.426420739883219,-0.317893520942093,-0.104659696567634,-0.373403082157471,-0.505064859611323,0.000846345033093372,-0.465612248725599,-0.464382209609645,-0.786569212876163,-1.3838274384819,7.59951430688165,3.79647420152983,5.25625509793493e-05,0.0035674011155464,3.75211043957175
"279","Dapma7bEVm002884",-0.188088516706145,-0.685397619370143,-0.746838396187905,-0.896601686821093,-1.09895477186889,-0.72583925601198,-0.975823670275963,-0.396501808716438,-0.661466375922156,-0.42045954332081,-1.44203415917522,-2.7100177032819,8.0636369992231,3.79530448352243,5.27843551915813e-05,0.0035674011155464,5.44373930041301
"280","Dapma7bEVm015475",0.135651232135474,-0.190287348267302,-0.592745642115258,-0.492416023998664,-0.0322542514351004,-0.156885760343551,-0.517331282872681,-0.0212507941794831,-0.192134799403405,-0.348485252063614,-0.81919374552768,-0.932682006000766,8.58231091485044,3.79427064920233,5.29811720363401e-05,0.0035674011155464,3.30549571869256
"281","Dapma7bEVm029678",-0.0261505509248054,-0.558392918533522,-0.986538107137824,-0.745232887228506,-0.63076153159308,-0.639747417659168,-0.710611285995236,-0.00715996426672161,-0.561621287533872,-0.496484604705793,-1.32853482395294,-2.39951023532597,7.62086924278219,3.79401098646907,5.30307207040437e-05,0.0035674011155464,5.39730492350916
"282","Dapma7bEVm000574",-0.613838639512877,-0.254510096032088,-0.0526851794593114,-0.214009099629621,-0.314584952234298,-0.277615065589656,-0.219508255072193,-0.279975860388405,-0.0727667282857838,-0.0477648095578105,-0.0985549076369845,0.0148327452338406,6.39078391361978,3.7875819003172,5.42724030779008e-05,0.00362591918478437,2.66537450448063
"283","Dapma7bEVm000107",0.465508744024854,0.0552595182581402,-0.54451386504156,-0.0314572167757731,0.157458870985244,-0.166222123649953,-0.506527662964399,0.256253249852135,-0.397287072500889,-0.530006436980357,-0.830390648129765,-0.968934895363101,8.34332075803101,3.78752128443221,5.42842474365962e-05,0.00362591918478437,4.29247211262346
"284","Dapma7bEVm015053",-1.46896289382845,-2.1878116336066,-2.35140861302063,-2.12564841538702,-1.41785226479888,-1.18641390606554,-1.19830765457928,-1.48205303905298,-2.32691632607788,-2.06965535589125,-2.17390990383898,-2.1062797819049,6.6460147102942,3.78163118690742,5.54475902483543e-05,0.00369058379741071,4.8015658611573
"285","Dapma7bEVm028349",0.307207417393908,0.0599386984590769,-0.971878978557297,-0.471659430951254,-0.0484087544555612,-0.121192965199066,-0.381813548292104,0.173152109757449,-0.495864428848225,-0.384250013517372,-0.818597821498294,-1.2149294696758,6.2021815887119,3.78055725844932,5.56623716872596e-05,0.00369188004212024,4.04285878988893
"286","Dapma7bEVm015621",-0.0283466445356799,-0.370585740239452,-1.58137305398427,-0.821760816822464,-0.305703240100976,-0.724150217452432,-1.02214045966652,-0.376765020610868,-0.891461750521641,-1.19031105276034,-1.88904959660924,-2.32052164699774,8.61100854481431,3.77945590549763,5.58835020552849e-05,0.0036935868508778,6.00147652679264
"287","Dapma7bEVm005277",0.559825334474825,0.223104106355999,-0.544578982459458,-0.0993086658388391,0.590223138688611,0.151927446610662,-0.00364890096271298,0.219162365030809,-0.0961503752179247,-0.339850926751871,-0.494160999195558,-0.517828150049129,7.33032513738487,3.77546403321811,5.66923806718321e-05,0.00371190148680572,3.82686325123271
"288","Dapma7bEVm009968",-0.0477137355696381,-0.43580535456604,-1.81145954555073,-1.28050215118627,-0.677633153755839,-0.417299999425131,-0.67686902767208,-0.0774737956285138,-0.619784928854326,-0.864481884388412,-1.86235702086949,-1.72908636463054,7.36474415879239,3.77446021162712,5.68976220079813e-05,0.00371190148680572,5.00273241493917
"289","Dapma7bEVm004319",0.187419900167509,-0.149096929811278,-0.582731966183637,-0.159948024162087,0.114466890271599,-0.291473302013305,-0.510671455664925,0.0557160356212843,-0.43928708939152,-0.55300908773826,-0.898306667024549,-0.91090709160156,6.45857164187722,3.77311656720217,5.71735068234963e-05,0.00371190148680572,3.91262816232756
"290","Dapma7bEVm009653",-0.150098429164392,-0.346991862781073,-0.52915635395595,-0.400963855134896,-0.350670527797895,-0.314630466442643,-0.498692972566043,-0.211608450781059,-0.588429419934965,-0.458973036566685,-0.572597370165266,-0.884640866495909,8.34559339846274,3.77259852943325,5.72802302413328e-05,0.00371190148680572,1.85512138709605
"291","Dapma7bEVm001595",0.10595875316513,-0.180443487310828,-0.881887647981835,-0.413072528948227,-0.232515059023649,-0.413554795418733,-0.641615691264093,-0.0480885296317768,-0.632548562083179,-0.697588690977744,-0.82628258358397,-0.949749858371563,8.03097040931879,3.77257584815834,5.72849074673965e-05,0.00371190148680572,4.24786931245023
"292","Dapma7bEVm002405",0.0745771265229331,-0.341724393628899,-1.79529819267934,-1.12007252248111,-0.473153391099706,-0.40301235076651,-1.06740309286217,-0.0239812949485657,-1.46434513668779,-1.09119960885169,-1.86252243339675,-2.14892296708765,8.00932547991358,3.7716649048703,5.7473073925627e-05,0.00371190148680572,5.38588591797369
"293","Dapma7bEVm015396",-0.215681955966745,-0.13805270191955,-0.519158431020494,-0.5391743704309,-0.184726453562021,-0.155912844196155,-0.547994646141703,-0.190839270763161,-0.278043169284212,-0.356101931393244,-0.924210892297963,-1.28570320056509,5.92495439727933,3.77136498909868,5.75351603255608e-05,0.00371190148680572,3.03639276028326
"294","Dapma7bEVm010301",-0.113537141109172,-0.600017427344058,-0.656147842675898,-0.659038463917074,-0.277027322797729,-0.197148458923407,-0.262668859761336,-0.257064630592542,-0.6279421184679,-0.730775303332932,-0.824153477869718,-0.594771611426271,6.2816551445323,3.7654114617686,5.8781589930223e-05,0.00377941630765648,2.76819271921997
"295","Dapma7bEVm003004",-0.202468168984778,-0.21998866987315,-0.273450189700616,-0.149056653286846,-0.277130095244642,-0.168219670395036,-0.00303104753448562,-0.400650788329477,-0.0484582592210733,-0.0129610636671951,-0.0325423952967399,-0.0831501323398425,7.58703712496593,3.76416361785538,5.90462414983758e-05,0.00378356306116541,1.26493262756735
"296","Dapma7bEVm029164",-0.950632715493456,-1.73227472477629,-0.914943375188259,-1.45467838845088,-1.7901250091585,-1.31516342136368,-1.71518617410051,-1.18076476631799,-1.40139596534045,-0.782678670731125,-1.78993808148795,-4.41474718690019,10.2869964311018,3.7593613445635,6.00759038723362e-05,0.00382893938596782,7.63272907940429
