"PC","variance","pct_variance","cumulative_pct"
"PC115",0.631656652896392,0.0491561597584741,98.842554671257
"PC116",0.614526659805611,0.0478230863661954,98.8903777576232
"PC117",0.607625184163128,0.0472860065496597,98.9376637641729
"PC118",0.598072169063089,0.0465425812500458,98.9842063454229
"PC119",0.574640095274612,0.0447190735622265,99.0289254189851
"PC120",0.565174119902637,0.0439824217823064,99.0729078407674
"PC121",0.558870249030269,0.0434918481735618,99.116399688941
"PC122",0.546066227174993,0.042495426239299,99.1588951151803
"PC123",0.538342994638438,0.0418943964699174,99.2007895116502
"PC124",0.523741374849144,0.0407580836458478,99.2415475952961
"PC125",0.50867298738665,0.0395854464892334,99.2811330417853
"PC126",0.50715920629197,0.0394676425129937,99.3206006842983
"PC127",0.502615116197164,0.039114016824682,99.359714701123
"PC128",0.492977027196087,0.0383639709880223,99.398078672111
"PC129",0.485028601919967,0.0377454164918262,99.4358240886028
"PC130",0.480897859995655,0.0374239579763156,99.4732480465791
"PC131",0.467135858177225,0.0363529850721576,99.5096010316513
"PC132",0.456259793868663,0.035506598744643,99.5451076303959
"PC133",0.455792094309342,0.0354702018917776,99.5805778322877
"PC134",0.44831471285487,0.0348883045023245,99.61546613679
"PC135",0.422065222680881,0.0328455426210802,99.6483116794111
"PC136",0.417784427812553,0.0325124068336617,99.6808240862448
"PC137",0.407345084793173,0.0317000065986905,99.7125240928435
"PC138",0.391885646709246,0.0304969374871008,99.7430210303306
"PC139",0.377281587792951,0.0293604348477004,99.7723814651783
"PC140",0.366119192890844,0.0284917659837232,99.800873231162
"PC141",0.351236425375837,0.0273335739592091,99.8282068051212
"PC142",0.346898948310788,0.0269960271058979,99.8552028322271
"PC143",0.339252455263801,0.0264009692812296,99.8816038015083
"PC144",0.320547111991547,0.0249453005440892,99.9065491020524
"PC145",0.313219970110417,0.024375094950227,99.9309241970026
"PC146",0.311609484441471,0.0242497653261845,99.9551739623288
"PC147",0.293533612148037,0.0228430826574348,99.9780170449863
"PC148",0.282480971926544,0.0219829550137388,100
"PC149",2.29956483112715e-27,1.78954461566315e-28,100
