"gene","module","degree","betweenness","closeness"
"Dapma7bEVm022407","MEbrown",560,0.000479850071766123,2.57457444763728
"Dapma7bEVm015286","MEbrown",604,0.000472300511165649,2.65641509015954
"Dapma7bEVm016345","MEbrown",891,0.00047199852874163,3.07430314288179
"Dapma7bEVm021081","MEbrown",697,0.000462335091173024,2.77010701612234
"Dapma7bEVm016624","MEbrown",584,0.000459013284508815,2.55060384222331
"Dapma7bEVm021615","MEbrown",765,0.000453577600876474,2.87741039360741
"Dapma7bEVm027357","MEbrown",788,0.000452369671180398,2.90958992682041
"Dapma7bEVm022897","MEbrown",665,0.000451463723908341,2.68083566770555
"Dapma7bEVm030079","MEbrown",853,0.000451463723908341,2.99199912287359
"Dapma7bEVm016476","MEbrown",796,0.000445122093003943,2.91826788704357
"Dapma7bEVm017678","MEbrown",654,0.000443914163307867,2.75604117785126
"Dapma7bEVm018493","MEbrown",839,0.000439686409371602,2.94874611733784
"Dapma7bEVm012215","MEbrown",745,0.000436666585131412,2.82487486274189
"Dapma7bEVm030250","MEbrown",620,0.000420963499082426,2.62431306619281
"Dapma7bEVm014899","MEbrown",806,0.000418849622114294,2.94799365054792
"Dapma7bEVm026770","MEbrown",572,0.000409488166969706,2.64938602675251
"Dapma7bEVm030291","MEbrown",880,0.000408884202121668,3.04708579148658
"Dapma7bEVm013251","MEbrown",686,0.000403448518489327,2.7812241158634
"Dapma7bEVm024815","MEbrown",901,0.000402240588793251,3.06387237092046
"Dapma7bEVm030360","MEbrown",624,0.000398012834856986,2.61044344194867
"Dapma7bEVm022673","MEbrown",806,0.000387745432440341,2.93547262390842
"Dapma7bEVm016998","MEbrown",541,0.000386537502744265,2.61564594073354
"Dapma7bEVm014146","MEbrown",729,0.000381705783959962,2.80644481822225
"Dapma7bEVm024523","MEbrown",667,0.000380497854263886,2.72879420294643
"Dapma7bEVm024410","MEbrown",697,0.000369324504575185,2.73519189057584
"Dapma7bEVm030585","MEbrown",638,0.000359359084582559,2.70098655634526
"Dapma7bEVm030241","MEbrown",876,0.000349091682165915,3.03632107239675
"Dapma7bEVm023528","MEbrown",713,0.000346977805197782,2.80010595321697
"Dapma7bEVm016565","MEbrown",803,0.000343354016109554,2.92643201341314
"Dapma7bEVm021138","MEbrown",664,0.000342448068837498,2.74532463585235
"Dapma7bEVm020400","MEbrown",743,0.000339730227021327,2.86028618812614
"Dapma7bEVm012065","MEbrown",547,0.000337314367629175,2.51673563555321
"Dapma7bEVm018653","MEbrown",656,0.000327650930060569,2.75070389445807
"Dapma7bEVm025761","MEbrown",601,0.00032734894763655,2.62680145926265
"Dapma7bEVm014244","MEbrown",679,0.000325537053092436,2.76835349591881
"Dapma7bEVm014429","MEbrown",848,0.000310437931891488,2.99714978105315
"Dapma7bEVm025976","MEbrown",619,0.000306512160379242,2.67995348340286
"Dapma7bEVm011888","MEbrown",557,0.000303794318563071,2.6346123437545
"Dapma7bEVm012710","MEbrown",588,0.000285977355545953,2.55682582792858
"Dapma7bEVm029253","MEbrown",685,0.000283561496153801,2.76935044654178
"Dapma7bEVm017147","MEbrown",886,0.000281749601609687,3.07063275629604
"Dapma7bEVm011266","MEbrown",657,0.000281145636761649,2.70408447225971
"Dapma7bEVm012681","MEbrown",804,0.000280239689489592,2.93248349105799
"Dapma7bEVm027746","MEbrown",784,0.000268160392528834,2.90667872348066
"Dapma7bEVm012199","MEbrown",564,0.000267556427680796,2.61206907426259
"Dapma7bEVm020668","MEbrown",801,0.000263026691320512,2.93064373209178
"Dapma7bEVm015888","MEbrown",738,0.000259100919808265,2.80821142813863
"Dapma7bEVm009427","MEbrown",783,0.000249739464663678,2.89706827162048
"Dapma7bEVm012382","MEbrown",542,0.000247927570119564,2.5835262163543
"Dapma7bEVm015802","MEbrown",851,0.00024611567557545,3.00112947119885
"Dapma7bEVm030367","MEbrown",545,0.000244907745879374,2.51516470921034
"Dapma7bEVm016013","MEbrown",711,0.000238264132550957,2.75885804922173
"Dapma7bEVm030634","MEbrown",672,0.000237056202854881,2.72660991169282
"Dapma7bEVm019036","MEbrown",559,0.000231922501646559,2.56743357229911
"Dapma7bEVm030330","MEbrown",730,0.000230412589526464,2.79973121923588
"Dapma7bEVm026830","MEbrown",532,0.000228298712558332,2.51336919466324
"Dapma7bEVm022476","MEbrown",841,0.000218333292565706,2.96277565033958
"Dapma7bEVm015487","MEbrown",708,0.00021440752105346,2.76751471323383
"Dapma7bEVm030332","MEbrown",688,0.000211991661661308,2.73010162556811
"Dapma7bEVm028626","MEbrown",600,0.000210481749541213,2.58943125699687
"Dapma7bEVm017365","MEbrown",655,0.000206253995604948,2.66973828026579
