"gene","module"
"Dapma7bEVm010807","tan"
"Dapma7bEVm010838","tan"
"Dapma7bEVm010840","tan"
"Dapma7bEVm010922","tan"
"Dapma7bEVm010955","tan"
"Dapma7bEVm011051","tan"
"Dapma7bEVm011101","tan"
"Dapma7bEVm011376","tan"
"Dapma7bEVm011381","tan"
"Dapma7bEVm011460","tan"
"Dapma7bEVm011533","tan"
"Dapma7bEVm011802","tan"
"Dapma7bEVm012011","tan"
"Dapma7bEVm012020","tan"
"Dapma7bEVm012026","tan"
"Dapma7bEVm012513","tan"
"Dapma7bEVm012539","tan"
"Dapma7bEVm013854","tan"
"Dapma7bEVm014272","tan"
"Dapma7bEVm014453","tan"
"Dapma7bEVm014981","tan"
"Dapma7bEVm015055","tan"
"Dapma7bEVm015056","tan"
"Dapma7bEVm015122","tan"
"Dapma7bEVm015123","tan"
"Dapma7bEVm015145","tan"
"Dapma7bEVm015299","tan"
"Dapma7bEVm015317","tan"
"Dapma7bEVm015324","tan"
"Dapma7bEVm015343","tan"
"Dapma7bEVm015367","tan"
"Dapma7bEVm015441","tan"
"Dapma7bEVm015450","tan"
"Dapma7bEVm015566","tan"
"Dapma7bEVm015585","tan"
"Dapma7bEVm015741","tan"
"Dapma7bEVm015749","tan"
"Dapma7bEVm016047","tan"
"Dapma7bEVm016576","tan"
"Dapma7bEVm018415","tan"
"Dapma7bEVm018470","tan"
"Dapma7bEVm018491","tan"
"Dapma7bEVm018554","tan"
"Dapma7bEVm018667","tan"
"Dapma7bEVm018679","tan"
"Dapma7bEVm018756","tan"
"Dapma7bEVm018792","tan"
"Dapma7bEVm022572","tan"
"Dapma7bEVm022787","tan"
"Dapma7bEVm023022","tan"
"Dapma7bEVm023244","tan"
"Dapma7bEVm023380","tan"
"Dapma7bEVm023895","tan"
"Dapma7bEVm024275","tan"
"Dapma7bEVm024600","tan"
"Dapma7bEVm025349","tan"
"Dapma7bEVm027243","tan"
"Dapma7bEVm027463","tan"
"Dapma7bEVm027477","tan"
"Dapma7bEVm027569","tan"
"Dapma7bEVm027612","tan"
"Dapma7bEVm027661","tan"
"Dapma7bEVm027691","tan"
"Dapma7bEVm027743","tan"
"Dapma7bEVm027855","tan"
"Dapma7bEVm028360","tan"
"Dapma7bEVm028623","tan"
"Dapma7bEVm028686","tan"
"Dapma7bEVm028814","tan"
"Dapma7bEVm029199","tan"
"Dapma7bEVm029224","tan"
"Dapma7bEVm029256","tan"
"Dapma7bEVm029285","tan"
"Dapma7bEVm029622","tan"
