"","MEblue","MEdarkturquoise","MEdarkgrey","MEblack","MEtan","MEyellow","MEbrown","MEcyan","MEpink","MEroyalblue","MEorange","MEturquoise","MEdarkred","MEgreenyellow","MEgreen","MEmidnightblue","MEdarkgreen","MEsalmon"
"D03A5",0.0270722732649555,-0.0290712527050499,-0.0399367961815291,0.00578074494035711,-0.0149331632312518,0.0100990292333328,0.0031568004488918,-0.0669206353664719,0.0849418211470889,0.0457327523786251,-0.00259089294000786,-0.0348859509199724,-0.0876370874837477,-0.0659129342622271,-0.0330850739087764,0.0818445667172599,0.0482751712783279,0.00569102790852942
"D03A6",0.0165693907836745,0.0407962075192305,0.0797964771768518,0.0267585774936146,0.095194028434441,-0.0491543365147792,-0.0325416665442937,-0.142464440758493,0.181866546410965,0.0909294348964175,-0.0548116716509697,-0.0313358694545519,-0.0534601970096992,-0.194233415597667,-0.170696652217466,-0.045878555306452,0.124066976119172,0.00277825352972981
"D04A1",0.00595199714060793,-0.0567714254377078,-0.146853931745035,-0.07964529713917,-0.151428390376862,-0.0502966557561853,0.00165255019491643,-0.0732545698099997,0.147470938860059,0.178566861427016,-0.00925887630170182,-0.0340124508330166,-0.0727767015197889,0.0165617737739675,0.00813076321551393,0.0800880842647818,0.0918799072529226,0.0831393163799832
"D04A2",0.0318620005029571,-0.0822419100261268,0.0757517624347546,-0.00828537827888771,-0.039114336121338,0.00277127668294971,-0.0252996451124306,0.00256142035043124,-0.0781203187296763,-0.0445558906476933,-0.0385146522961127,-0.0423565135451882,0.0698405651120548,0.0453797192191438,0.0278568023995411,-0.0145697547182509,0.0843943781687789,0.0491065212922869
"D04A3",-0.0135029649872171,0.0985553199774753,0.00828924398850453,-0.0983936579136941,-0.0313152707456636,-0.0529839767215004,0.0124738386393923,0.00499597726539378,0.159261693698371,0.227617206701955,0.293115543010553,-0.0223536368721559,-0.0117340316497249,0.0330543096084219,0.00274387047790956,-0.121506807974588,-0.0728975215910325,0.0560988114698228
"D04A4",0.0514422351434213,-0.0418381888354621,-0.0336451432265403,0.0440162713648835,-0.0550630258714632,0.0659094745120839,-0.0365303893447399,-0.0167795057252882,-0.138460557502734,-0.102595533770393,-0.0360699986724128,-0.045070708622701,-0.00762807750030478,0.0328245531920327,0.0244032371726946,0.0640761044105718,0.0261966557040157,0.0747576473614776
"D04A5",0.0340766300368094,0.24394108905388,-0.0554363238232759,0.0466648699227111,-0.050271426879031,-0.0688127324752137,-0.0252507398606231,-0.100521737764825,0.00389623528761158,-0.0660852904087666,-0.0225733187659777,-0.0092977911458751,-0.0391151902096829,-0.0102578301555049,-0.0867540590807674,0.00728392676843654,0.0515166133134846,0.228471191436676
"D04A6",-0.10658826692423,-0.0375549117918433,-0.0787450916282187,-0.0751708409374356,-0.0590580252583691,-0.0958280951064242,0.0189557422665599,0.018894644762238,0.0668440150899603,0.000772155137023309,-0.0254929821737546,0.197216959548252,0.0645360820775509,0.117635254469494,-0.0109911433962188,-0.0434740094261448,-0.027369602595359,0.0263435980844583
"D05A1",-0.28140460368702,-0.0492764862102388,-0.0850580311148994,-0.0789338044193743,-0.0824164248642768,-0.0814300659881567,0.0628489345196589,0.147851203407235,-0.0115865375400854,0.055482188735661,0.0961851509058968,0.207334730762593,-0.0400570257326511,0.0456125169427304,0.119174598775315,0.0887353844796265,0.116448510431871,0.0148785295842666
"D05A2",-0.172292747554197,-0.0240591542928103,0.0106276462483116,0.37625078825419,0.0801003270412368,0.00471224000099461,0.0241389410150489,-0.191052689573048,-0.0541813747273458,0.0143551713771754,0.485351779488704,0.202816691908131,-0.0159961257824336,-0.0446759952142317,-0.102985073869341,0.00400086348069975,-0.057031201958758,-0.0190239243575928
