"module","trait","correlation","padj"
"MEdarkgrey","Control",0.0965683366544149,0.476689843439077
"MEdarkgrey","1x",-0.154979087783015,0.208780816157721
"MEdarkgrey","10x",0.117101869860242,0.394833537688467
"MEblack","Control",0.138582747930064,0.245126736782619
"MEblack","1x",-0.0167537353097668,0.905853676617454
"MEblack","10x",-0.03760289053198,0.832859943067833
"MEtan","Control",-0.0225473149465481,0.899755057596664
"MEtan","1x",0.0582374954399543,0.697775280119036
"MEtan","10x",-0.0493937109098334,0.740255952714783
"MEyellow","Control",0.176608161325474,0.137806672125342
"MEyellow","1x",-0.300273192982878,0.0102035122873197
"MEyellow","10x",0.231001772916852,0.0400851242820945
"MEbrown","Control",0.0024472412594453,0.976288948259347
"MEbrown","1x",-0.0728910896227177,0.606255776675656
"MEbrown","10x",0.0719312026276114,0.606255776675656
"MEcyan","Control",-0.0220334433465272,0.899755057596664
"MEcyan","1x",-0.170517347559805,0.153514674998069
"MEcyan","10x",0.179159575065619,0.137806672125342
"MEpink","Control",-0.190387696482668,0.117686086021108
"MEpink","1x",0.276941300685085,0.0113374339399829
"MEpink","10x",-0.202265102261,0.0881324613732059
"MEroyalblue","Control",-0.0274316461384713,0.899755057596664
"MEroyalblue","1x",-0.0026334114417201,0.976288948259347
"MEroyalblue","10x",0.0133929882840307,0.922004652107557
"MEorange","Control",0.0651743697859228,0.660552833003503
"MEorange","1x",0.0471803442084677,0.74602328087045
"MEorange","10x",-0.0727438352334317,0.606255776675656
"MEturquoise","Control",0.0965958231015242,0.476689843439077
"MEturquoise","1x",0.0566589618694398,0.697775280119036
"MEturquoise","10x",-0.0945469608637651,0.476689843439077
"MEdarkred","Control",-0.0915429714514483,0.476689843439077
"MEdarkred","1x",-0.113839086871828,0.40601811669008
"MEdarkred","10x",0.149745194392074,0.21410187307767
"MEgreenyellow","Control",0.00679711300280037,0.970138968094112
"MEgreenyellow","1x",-0.272502742960945,0.0113374339399829
"MEgreenyellow","10x",0.269836695896531,0.0113374339399829
"MEgreen","Control",0.10598049611037,0.442762130760983
"MEgreen","1x",-0.255334540618642,0.0174244982365788
"MEgreen","10x",0.213765570024256,0.0665271663645975
"MEmidnightblue","Control",0.184929215698318,0.126789124305325
"MEmidnightblue","1x",-0.162486905531031,0.181146787154358
"MEmidnightblue","10x",0.0899516994172511,0.476689843439077
"MEdarkgreen","Control",0.142337835983189,0.233877094865276
"MEdarkgreen","1x",-0.0906355467028755,0.476689843439077
"MEdarkgreen","10x",0.034806054148964,0.844417541186032
"MEsalmon","Control",0.146094383108735,0.223320109249577
"MEsalmon","1x",0.0955422529471785,0.476689843439077
"MEsalmon","10x",-0.152845184508543,0.208780816157721
"MEblue","29331-92-8",0.031172342719137,0.976452332806933
"MEblue","58955-93-4",0.0402529117542211,0.971084854900018
"MEblue","95-14-7",-0.0460536356089214,0.969378383757342
"MEblue","615-22-5",-0.0341866178215008,0.976189477093204
"MEblue","941-57-1",-0.0991300663056883,0.730134235684517
"MEblue","68011-66-5",0.00227683387651036,0.992749801547302
"MEblue","94-75-7",-0.0193099069211631,0.976452332806933
"MEblue","51-28-5",-0.135254621838207,0.488847715783885
"MEblue","136-85-6",-0.0556081495926751,0.954048405801303
"MEblue","33665-90-6",0.0243410795361468,0.976452332806933
"MEblue","1912-24-9",0.062813872814421,0.91540949428396
"MEblue","25057-89-0",0.158299833323101,0.356762021689897
"MEblue","4065-45-6",-0.033665986128734,0.976452332806933
"MEblue","298-46-4",-0.0849605694897189,0.788776998444633
"MEblue","1698-60-8",0.0278174293626494,0.976452332806933
"MEblue","15545-48-9",0.0218299958671349,0.976452332806933
"MEblue","81103-11-9",0.0901412985063454,0.763819772615206
"MEblue","100-88-9",0.0699021368879907,0.874028569412709
"MEblue","134-62-3",-0.0406646768953474,0.971084854900018
"MEblue","75847-73-3",-0.0183034026028612,0.976452332806933
"MEblue","68002-20-0",-0.00529408281219891,0.984045558531983
"MEblue","34123-59-6",0.0508731524251467,0.954655567570737
"MEblue","93-65-2",0.0214817472418568,0.976452332806933
"MEblue","657-24-9",0.0563587565721701,0.94972693446988
"MEblue","51218-45-2",0.0203562761724436,0.976452332806933
"MEblue","171118-09-5",-0.0518016284022201,0.954048405801303
"MEblue","37350-58-6",0.02333188381073,0.976452332806933
"MEblue","83-15-8",0.0191367672469648,0.976452332806933
"MEblue","1672-58-8",0.00217132587010983,0.992749801547302
"MEblue","604-75-1",0.000310300326285774,0.996993103123542
"MEblue","70-55-3",0.0626890956813737,0.91540949428396
"MEblue","60-80-0",0.0423529904618378,0.970342395109453
"MEblue","27503-81-7",-0.0364569728607771,0.975033833283749
"MEblue","56038-13-2",-0.00954025072192532,0.984045558531983
"MEblue","723-46-6",0.0361608063916312,0.975033833283749
"MEblue","5915-41-3",0.00582797916053838,0.984045558531983
"MEblue","66753-07-9",0.0429522359194683,0.970342395109453
"MEblue","143-24-8",-0.214941819182259,0.148609297503334
"MEblue","27203-92-5",-0.0845686888547775,0.789024760781444
"MEblue","791-28-6",0.119709953174733,0.594636102438534
"MEdarkturquoise","29331-92-8",0.0212767428220412,0.976452332806933
"MEdarkturquoise","58955-93-4",0.0704902704488788,0.869667817518894
"MEdarkturquoise","95-14-7",-0.00596218484147882,0.984045558531983
"MEdarkturquoise","615-22-5",-0.0200882632324871,0.976452332806933
"MEdarkturquoise","941-57-1",-0.0486650039188647,0.958788227475476
"MEdarkturquoise","68011-66-5",0.0642989285732773,0.914483120324261
"MEdarkturquoise","94-75-7",-0.0174868221107472,0.976452332806933
"MEdarkturquoise","51-28-5",-0.0753127746993842,0.840810598436929
"MEdarkturquoise","136-85-6",-0.00803379930179194,0.984045558531983
"MEdarkturquoise","33665-90-6",-0.0309334881177804,0.976452332806933
"MEdarkturquoise","1912-24-9",0.0409314865025202,0.971084854900018
"MEdarkturquoise","25057-89-0",0.0249703811973308,0.976452332806933
"MEdarkturquoise","4065-45-6",-0.0329748289602692,0.976452332806933
"MEdarkturquoise","298-46-4",0.0345236637347943,0.976189477093204
"MEdarkturquoise","1698-60-8",0.0205989237301606,0.976452332806933
"MEdarkturquoise","15545-48-9",-0.0603981020995329,0.923083269578686
"MEdarkturquoise","81103-11-9",-0.0289093961093186,0.976452332806933
"MEdarkturquoise","100-88-9",0.0442094361544102,0.969378383757342
"MEdarkturquoise","134-62-3",-0.00837135624186432,0.984045558531983
"MEdarkturquoise","75847-73-3",0.0366481451126124,0.975033833283749
"MEdarkturquoise","68002-20-0",0.0347992135932877,0.976189477093204
"MEdarkturquoise","34123-59-6",0.0412208659640002,0.971084854900018
"MEdarkturquoise","93-65-2",-0.0302126791927425,0.976452332806933
"MEdarkturquoise","657-24-9",0.0797562836493429,0.810467416323175
"MEdarkturquoise","51218-45-2",0.0387631501725375,0.975033833283749
