"source_metabolite","target_metabolite","tom_weight","module"
"281_0800824","282_083494",0.386614379759022,"MEturquoise"
"180_9045548","283_0758788",0.272149411723891,"MEturquoise"
"191_0408271","283_0758788",0.329933620436975,"MEturquoise"
"214_006924","283_0758788",0.351334468803245,"MEturquoise"
"216_015376","283_0758788",0.271702469177063,"MEturquoise"
"269_0802017","283_0758788",0.361789662718525,"MEturquoise"
"271_0784932","283_0758788",0.355770415806727,"MEturquoise"
"279_0643893","283_0758788",0.392434993842998,"MEturquoise"
"281_0800824","283_0758788",0.371962970488011,"MEturquoise"
"282_083494","283_0758788",0.365575084452664,"MEturquoise"
"180_9045548","285_0540661",0.261820502830886,"MEturquoise"
"191_0408271","285_0540661",0.311496223826348,"MEturquoise"
"214_006924","285_0540661",0.326755023790721,"MEturquoise"
"216_015376","285_0540661",0.273155904542873,"MEturquoise"
"269_0802017","285_0540661",0.310326462452162,"MEturquoise"
"271_0784932","285_0540661",0.331062742206455,"MEturquoise"
"279_0643893","285_0540661",0.31083526884434,"MEturquoise"
"281_0800824","285_0540661",0.277428019900531,"MEturquoise"
"282_083494","285_0540661",0.272822447135263,"MEturquoise"
"283_0758788","285_0540661",0.251948320308665,"MEturquoise"
"179_062647","287_0523403",0.263342826277738,"MEturquoise"
"180_9045548","287_0523403",0.275538330612987,"MEturquoise"
"191_0408271","287_0523403",0.315969799600729,"MEturquoise"
"194_0330708","287_0523403",0.256782834644135,"MEturquoise"
"198_9747464","287_0523403",0.26201039753849,"MEturquoise"
"207_0147953","287_0523403",0.262198736600748,"MEturquoise"
"210_0507879","287_0523403",0.251887012124796,"MEturquoise"
"214_006924","287_0523403",0.328613351631184,"MEturquoise"
"216_015376","287_0523403",0.283594746302613,"MEturquoise"
"226_0459948","287_0523403",0.28525707864233,"MEturquoise"
"235_0576314","287_0523403",0.273525067846639,"MEturquoise"
"249_0965969","287_0523403",0.267608060433677,"MEturquoise"
"250_0999527","287_0523403",0.258870541078695,"MEturquoise"
"260_027772","287_0523403",0.253561557941389,"MEturquoise"
"269_0802017","287_0523403",0.306746411983709,"MEturquoise"
"271_0784932","287_0523403",0.338930415613888,"MEturquoise"
"272_0816753","287_0523403",0.268387558548977,"MEturquoise"
"279_0643893","287_0523403",0.300498341982595,"MEturquoise"
"281_0800824","287_0523403",0.303840674529539,"MEturquoise"
"282_083494","287_0523403",0.30283731435964,"MEturquoise"
"283_0758788","287_0523403",0.296463691738988,"MEturquoise"
"285_0540661","287_0523403",0.294762492364755,"MEturquoise"
"180_9045548","287_0710009",0.26159162685571,"MEturquoise"
"191_0408271","287_0710009",0.304670025168552,"MEturquoise"
"210_0507879","287_0710009",0.275519533842388,"MEturquoise"
"214_006924","287_0710009",0.321640251989302,"MEturquoise"
"216_015376","287_0710009",0.269054874324715,"MEturquoise"
"218_0220922","287_0710009",0.277551317740666,"MEturquoise"
"226_0459948","287_0710009",0.273028118843034,"MEturquoise"
"235_0576314","287_0710009",0.267657632406164,"MEturquoise"
"269_0802017","287_0710009",0.294208630336388,"MEturquoise"
"271_0784932","287_0710009",0.331173595857721,"MEturquoise"
"272_0816753","287_0710009",0.266515988610391,"MEturquoise"
"279_0643893","287_0710009",0.289839280879982,"MEturquoise"
"281_0800824","287_0710009",0.280832820666518,"MEturquoise"
"282_083494","287_0710009",0.279828063923035,"MEturquoise"
"283_0758788","287_0710009",0.271703836181865,"MEturquoise"
"285_0540661","287_0710009",0.25413666743692,"MEturquoise"
"287_0523403","287_0710009",0.272289405354308,"MEturquoise"
"179_062647","289_0413784",0.270025774846561,"MEturquoise"
"180_9045548","289_0413784",0.257635858319512,"MEturquoise"
"191_0408271","289_0413784",0.296366350683987,"MEturquoise"
"214_006924","289_0413784",0.312810484815239,"MEturquoise"
"249_0965969","289_0413784",0.283592729912719,"MEturquoise"
"250_0999527","289_0413784",0.273325849017588,"MEturquoise"
"271_0784932","289_0413784",0.323850564180556,"MEturquoise"
"287_0523403","289_0413784",0.257155004711187,"MEturquoise"
"111_0897684","295_0956611",0.291140208731727,"MEturquoise"
"179_062647","295_0956611",0.265913590582325,"MEturquoise"
"180_9045548","295_0956611",0.293497886737591,"MEturquoise"
"191_0408271","295_0956611",0.341941932621857,"MEturquoise"
"198_9747464","295_0956611",0.270147817417016,"MEturquoise"
"207_0147953","295_0956611",0.26408732595513,"MEturquoise"
"210_0507879","295_0956611",0.297705785821553,"MEturquoise"
"214_006924","295_0956611",0.36323986254395,"MEturquoise"
"216_015376","295_0956611",0.298242691834149,"MEturquoise"
"218_0220922","295_0956611",0.27842120468985,"MEturquoise"
"226_0459948","295_0956611",0.307657924739134,"MEturquoise"
"235_0576314","295_0956611",0.29252993123935,"MEturquoise"
"249_0965969","295_0956611",0.265090236942628,"MEturquoise"
"250_0999527","295_0956611",0.255095603484644,"MEturquoise"
"260_027772","295_0956611",0.277743582253743,"MEturquoise"
"269_0802017","295_0956611",0.386030024295088,"MEturquoise"
"271_0784932","295_0956611",0.372993656294107,"MEturquoise"
"272_0816753","295_0956611",0.300833907578706,"MEturquoise"
"279_0643893","295_0956611",0.393273095692567,"MEturquoise"
"281_0800824","295_0956611",0.404239435650797,"MEturquoise"
"282_083494","295_0956611",0.402681642479376,"MEturquoise"
"283_0758788","295_0956611",0.389376302371825,"MEturquoise"
"285_0540661","295_0956611",0.34321395174164,"MEturquoise"
"287_0523403","295_0956611",0.314238115471518,"MEturquoise"
"287_0710009","295_0956611",0.30420738670843,"MEturquoise"
"289_0413784","295_0956611",0.286175740405725,"MEturquoise"
"180_9045548","297_0539403",0.267942809872149,"MEturquoise"
"191_0408271","297_0539403",0.319981992447586,"MEturquoise"
"214_006924","297_0539403",0.33558886587075,"MEturquoise"
"216_015376","297_0539403",0.278128186341873,"MEturquoise"
"269_0802017","297_0539403",0.341660184782251,"MEturquoise"
"271_0784932","297_0539403",0.341448434779439,"MEturquoise"
"279_0643893","297_0539403",0.372602726787675,"MEturquoise"
"281_0800824","297_0539403",0.355690487184074,"MEturquoise"
"282_083494","297_0539403",0.349248045623629,"MEturquoise"
"283_0758788","297_0539403",0.310925143646184,"MEturquoise"
"287_0523403","297_0539403",0.295487800526157,"MEturquoise"
"287_0710009","297_0539403",0.265400835718695,"MEturquoise"
"295_0956611","297_0539403",0.369051044960334,"MEturquoise"
"111_0897684","297_1113372",0.255978292915811,"MEturquoise"
"179_062647","297_1113372",0.265286689133684,"MEturquoise"
"180_9045548","297_1113372",0.288874568107644,"MEturquoise"
"191_0408271","297_1113372",0.344099519678278,"MEturquoise"
"210_0507879","297_1113372",0.254284856667306,"MEturquoise"
"214_006924","297_1113372",0.366239805321628,"MEturquoise"
"216_015376","297_1113372",0.281662369300898,"MEturquoise"
"218_0220922","297_1113372",0.25611823912993,"MEturquoise"
"226_0459948","297_1113372",0.268939965055658,"MEturquoise"
"235_0576314","297_1113372",0.251563790476891,"MEturquoise"
"249_0965969","297_1113372",0.268667924644117,"MEturquoise"
"250_0999527","297_1113372",0.258133191444834,"MEturquoise"
"260_027772","297_1113372",0.260979805546593,"MEturquoise"
"269_0802017","297_1113372",0.348603090963316,"MEturquoise"
"271_0784932","297_1113372",0.376240064007155,"MEturquoise"
"272_0816753","297_1113372",0.263702484685571,"MEturquoise"
"279_0643893","297_1113372",0.358766553120281,"MEturquoise"
"281_0800824","297_1113372",0.374004201426408,"MEturquoise"
"282_083494","297_1113372",0.372760937147754,"MEturquoise"
"283_0758788","297_1113372",0.360244155888712,"MEturquoise"
"285_0540661","297_1113372",0.31252751352248,"MEturquoise"
"287_0523403","297_1113372",0.305140284769445,"MEturquoise"
"287_0710009","297_1113372",0.291837606499855,"MEturquoise"
"289_0413784","297_1113372",0.254595671198441,"MEturquoise"
"295_0956611","297_1113372",0.379553355270347,"MEturquoise"
"297_0539403","297_1113372",0.338185641213768,"MEturquoise"
"179_062647","303_0643956",0.261028944821474,"MEturquoise"
"180_9045548","303_0643956",0.290488239190619,"MEturquoise"
"191_0408271","303_0643956",0.343922389206789,"MEturquoise"
"214_006924","303_0643956",0.364955257189054,"MEturquoise"
"216_015376","303_0643956",0.286394374454134,"MEturquoise"
"218_0220922","303_0643956",0.263277689639955,"MEturquoise"
"249_0965969","303_0643956",0.262481573618908,"MEturquoise"
"250_0999527","303_0643956",0.252528235119763,"MEturquoise"
"260_027772","303_0643956",0.254488679548022,"MEturquoise"
"269_0802017","303_0643956",0.332821236882347,"MEturquoise"
"271_0784932","303_0643956",0.374650441586205,"MEturquoise"
"272_0816753","303_0643956",0.25492370435126,"MEturquoise"
"279_0643893","303_0643956",0.333968961534727,"MEturquoise"
"281_0800824","303_0643956",0.329238436259427,"MEturquoise"
"282_083494","303_0643956",0.327626696621532,"MEturquoise"
"283_0758788","303_0643956",0.315725962593676,"MEturquoise"
"285_0540661","303_0643956",0.276243906690125,"MEturquoise"
"287_0523403","303_0643956",0.306571255611948,"MEturquoise"
"287_0710009","303_0643956",0.298385098256553,"MEturquoise"
"295_0956611","303_0643956",0.376658193997752,"MEturquoise"
"297_0539403","303_0643956",0.301637110128809,"MEturquoise"
"297_1113372","303_0643956",0.337002195753638,"MEturquoise"
"180_9045548","304_0959721",0.27129256120703,"MEturquoise"
"191_0408271","304_0959721",0.330005978067503,"MEturquoise"
"214_006924","304_0959721",0.348973134976591,"MEturquoise"
"216_015376","304_0959721",0.273409632426463,"MEturquoise"
"218_0220922","304_0959721",0.251085721593546,"MEturquoise"
"269_0802017","304_0959721",0.323006306608156,"MEturquoise"
"271_0784932","304_0959721",0.354212993705659,"MEturquoise"
"279_0643893","304_0959721",0.328676302539651,"MEturquoise"
"281_0800824","304_0959721",0.292003218456621,"MEturquoise"
"282_083494","304_0959721",0.286958750719542,"MEturquoise"
"283_0758788","304_0959721",0.262851142238214,"MEturquoise"
"287_0523403","304_0959721",0.294337262955308,"MEturquoise"
"287_0710009","304_0959721",0.281464367209906,"MEturquoise"
"295_0956611","304_0959721",0.360620863494036,"MEturquoise"
"297_1113372","304_0959721",0.324939750215661,"MEturquoise"
"303_0643956","304_0959721",0.288524704668056,"MEturquoise"
"180_9045548","305_0800464",0.264318971975353,"MEturquoise"
"191_0408271","305_0800464",0.329726328693905,"MEturquoise"
"214_006924","305_0800464",0.351297423630464,"MEturquoise"
"216_015376","305_0800464",0.266558060408823,"MEturquoise"
"269_0802017","305_0800464",0.384638723114345,"MEturquoise"
"271_0784932","305_0800464",0.35546788847801,"MEturquoise"
"279_0643893","305_0800464",0.432942257109898,"MEturquoise"
"281_0800824","305_0800464",0.414291134921995,"MEturquoise"
"282_083494","305_0800464",0.406548638576339,"MEturquoise"
"283_0758788","305_0800464",0.359912757490124,"MEturquoise"
"287_0523403","305_0800464",0.292461513722884,"MEturquoise"
"287_0710009","305_0800464",0.267509702402482,"MEturquoise"
"295_0956611","305_0800464",0.403653492778646,"MEturquoise"
"297_0539403","305_0800464",0.322136117701227,"MEturquoise"
"297_1113372","305_0800464",0.377927038808685,"MEturquoise"
"303_0643956","305_0800464",0.333536536852376,"MEturquoise"
"304_0959721","305_0800464",0.278412193162611,"MEturquoise"
"180_9045548","306_0834883",0.263131291224955,"MEturquoise"
"191_0408271","306_0834883",0.32757653245619,"MEturquoise"
"214_006924","306_0834883",0.348480621834784,"MEturquoise"
"216_015376","306_0834883",0.266526492590947,"MEturquoise"
"269_0802017","306_0834883",0.378950977279542,"MEturquoise"
"271_0784932","306_0834883",0.352162746399274,"MEturquoise"
"279_0643893","306_0834883",0.425589873361614,"MEturquoise"
"281_0800824","306_0834883",0.407342468654574,"MEturquoise"
"282_083494","306_0834883",0.399822639749741,"MEturquoise"
"283_0758788","306_0834883",0.355226054637219,"MEturquoise"
"287_0523403","306_0834883",0.292550795975055,"MEturquoise"
"287_0710009","306_0834883",0.26385915203592,"MEturquoise"
"295_0956611","306_0834883",0.398041596450677,"MEturquoise"
"297_0539403","306_0834883",0.31672449192345,"MEturquoise"
"297_1113372","306_0834883",0.373038549063609,"MEturquoise"
"303_0643956","306_0834883",0.328740965514261,"MEturquoise"
"304_0959721","306_0834883",0.276344022552804,"MEturquoise"
"305_0800464","306_0834883",0.365145876834796,"MEturquoise"
"180_9045548","307_0956715",0.274803408568329,"MEturquoise"
"191_0408271","307_0956715",0.337684949107324,"MEturquoise"
"214_006924","307_0956715",0.359595987746196,"MEturquoise"
"216_015376","307_0956715",0.274470277672154,"MEturquoise"
"260_027772","307_0956715",0.251296689852132,"MEturquoise"
"269_0802017","307_0956715",0.372925376374302,"MEturquoise"
"271_0784932","307_0956715",0.365764190069733,"MEturquoise"
"279_0643893","307_0956715",0.4054445747852,"MEturquoise"
"281_0800824","307_0956715",0.385467566338931,"MEturquoise"
"282_083494","307_0956715",0.383618946265525,"MEturquoise"
"283_0758788","307_0956715",0.367605412694643,"MEturquoise"
"285_0540661","307_0956715",0.277198363673292,"MEturquoise"
"287_0523403","307_0956715",0.299233042902446,"MEturquoise"
"287_0710009","307_0956715",0.27991120263091,"MEturquoise"
"295_0956611","307_0956715",0.399958701944358,"MEturquoise"
"297_0539403","307_0956715",0.350796939131124,"MEturquoise"
"297_1113372","307_0956715",0.3695728341605,"MEturquoise"
"303_0643956","307_0956715",0.327066376645187,"MEturquoise"
"304_0959721","307_0956715",0.293894200642468,"MEturquoise"
"305_0800464","307_0956715",0.414400064815689,"MEturquoise"
